'sample #','ECG lead I','ECG lead II','ECG lead V','ART','PAP','CVP','Resp. Imp.','CO2'
0,-1949,-1951,-1955,-869,1023,-1537,-784,-258
1,-1888,-1893,-1899,-349,2047,-1537,-4,845
2,-1882,-1887,-1894,-312,2047,-1537,51,924
3,-1896,-1901,-1907,-438,2047,-1537,-138,657
4,-1891,-1896,-1903,-423,2047,-1537,-114,691
5,-1883,-1889,-1895,-366,2047,-1537,-28,812
6,-1890,-1895,-1902,-388,2047,-1537,-62,764
7,-1898,-1902,-1909,-414,2047,-1537,-101,709
8,-1894,-1898,-1905,-397,2047,-1537,-74,747
9,-1889,-1893,-1899,-387,2047,-1537,-59,765
10,-1890,-1894,-1900,-397,2047,-1537,-75,739
11,-1891,-1895,-1901,-399,2047,-1537,-78,734
12,-1891,-1895,-1901,-394,2047,-1537,-70,745
13,-1893,-1897,-1904,-395,2047,-1537,-71,743
14,-1895,-1899,-1905,-397,2047,-1537,-74,737
15,-1891,-1896,-1902,-396,2047,-1537,-73,739
16,-1887,-1892,-1898,-396,2047,-1537,-73,738
17,-1890,-1894,-1900,-396,2047,-1537,-73,738
18,-1893,-1897,-1903,-396,2047,-1537,-73,739
19,-1892,-1897,-1903,-396,2047,-1537,-73,739
20,-1891,-1897,-1903,-396,2047,-1537,-73,740
21,-1891,-1896,-1903,-396,2047,-1537,-73,742
22,-1889,-1894,-1901,-396,2047,-1537,-73,743
23,-1888,-1893,-1900,-396,2047,-1537,-74,744
24,-1891,-1896,-1902,-396,2047,-1537,-73,745
25,-1893,-1898,-1904,-396,2047,-1537,-73,746
26,-1892,-1896,-1903,-396,2047,-1537,-72,747
27,-1889,-1894,-1901,-395,2047,-1537,-72,748
28,-1889,-1894,-1900,-395,2047,-1537,-72,748
29,-1890,-1894,-1901,-395,2047,-1537,-72,748
30,-1891,-1895,-1902,-397,2047,-1537,-73,747
31,-1893,-1897,-1903,-398,2047,-1537,-74,746
32,-1893,-1897,-1904,-397,2047,-1537,-73,745
33,-1892,-1895,-1902,-396,2047,-1537,-71,744
34,-1890,-1893,-1900,-395,2047,-1537,-71,742
35,-1890,-1894,-1901,-396,2047,-1537,-71,741
36,-1892,-1896,-1902,-396,2047,-1537,-72,739
37,-1892,-1896,-1903,-396,2047,-1537,-72,738
38,-1892,-1896,-1903,-397,2047,-1537,-73,736
39,-1891,-1896,-1902,-397,2047,-1537,-73,736
40,-1891,-1895,-1901,-396,2047,-1537,-72,736
41,-1890,-1894,-1901,-395,2047,-1537,-71,735
42,-1890,-1894,-1902,-396,2047,-1537,-71,736
43,-1891,-1896,-1902,-396,2047,-1537,-71,736
44,-1891,-1896,-1902,-396,2047,-1537,-71,737
45,-1890,-1895,-1902,-396,2047,-1537,-72,739
46,-1890,-1895,-1902,-396,2047,-1537,-72,740
47,-1890,-1895,-1902,-396,2047,-1537,-71,741
48,-1890,-1894,-1901,-394,2047,-1537,-69,743
49,-1890,-1895,-1901,-394,2047,-1537,-69,744
50,-1890,-1895,-1901,-395,2047,-1537,-70,744
51,-1890,-1895,-1901,-396,2047,-1537,-71,745
52,-1890,-1895,-1901,-396,2047,-1537,-71,745
53,-1890,-1895,-1901,-395,2047,-1537,-71,744
54,-1891,-1895,-1902,-396,2047,-1537,-71,744
55,-1891,-1895,-1902,-397,2047,-1537,-71,743
56,-1892,-1895,-1902,-396,2047,-1537,-70,742
57,-1892,-1894,-1901,-395,2047,-1537,-69,740
58,-1891,-1894,-1901,-395,2047,-1537,-68,740
59,-1891,-1894,-1901,-395,2047,-1537,-69,739
60,-1891,-1895,-1902,-396,2047,-1537,-69,737
61,-1891,-1895,-1902,-396,2047,-1537,-69,736
62,-1891,-1895,-1902,-396,2047,-1537,-69,735
63,-1891,-1895,-1902,-396,2047,-1537,-69,735
64,-1891,-1895,-1902,-396,2047,-1537,-68,736
65,-1891,-1895,-1902,-395,2047,-1537,-68,736
